id,address,incident_date,city,zipcode,battalion,station_area,action_taken_primary,property_use,ignition_cause,neighborhood_district,point
80283040,150 Elsie St.,2008-04-01 0:00:00,SF,94110,B06,11,86 - Investigate,"962 - Residential street, road or residential dr",,Bernal Heights,POINT (-122.41837339 37.74208979)
80283030,85 Turner Tr.,2008-04-01 0:00:00,SF,94107,B10,37,76 - Provide water,"960 - Street, other",,Potrero Hill,POINT (-122.39489 37.756291)
80283090,175 6th St.,2008-04-01 0:00:00,SF,94105,B03,1,86 - Investigate,429 - Multifamily dwellings,,South of Market,POINT (-122.407468 37.78008)
80283140,633 Hayes St.,2008-04-01 0:00:00,SF,94102,B02,36,64 - Shut down system,"400 - Residential, other",,Hayes Valley,POINT (-122.42684908 37.77612642)
80283190,27th Av. / Cabrillo St.,2008-04-01 0:00:00,SF,94121,B07,14,"00 - Action taken, other","960 - Street, other",,Outer Richmond,POINT (-122.4863941 37.77428492)
80283370,165 Belgrave Av.,2008-04-01 0:00:00,SF,94117,B05,12,86 - Investigate,"400 - Residential, other",,Inner Sunset,POINT (-122.4481912 37.7597267)
80283290,Grant Av. / Post St.,2008-04-01 0:00:00,SF,94109,B01,1,86 - Investigate,963 - Street or road in commercial area,,Financial District/South Beach,POINT (-122.405223 37.788694)
80283500,Cortland Av. / Andover St.,2008-04-01 0:00:00,SF,94110,B06,32,86 - Investigate,"960 - Street, other",,Bernal Heights,POINT (-122.416457 37.739056)
80283550,2nd St. / Brannan St.,2008-04-01 0:00:00,SF,94107,B03,8,86 - Investigate,963 - Street or road in commercial area,,Financial District/South Beach,POINT (-122.392082 37.781846)
80283520,300 Ortega St.,2008-04-01 0:00:00,SF,94122,B08,22,86 - Investigate,"400 - Residential, other",2 - Unintentional,Inner Sunset,POINT (-122.46678342 37.75300898)
80283590,241 6th St.,2008-04-01 0:00:00,SF,94107,B03,1,86 - Investigate,429 - Multifamily dwellings,,South of Market,POINT (-122.406258 37.779375)
80283710,Mendell St. / Newhall St.,2008-04-01 0:00:00,SF,94124,B10,25,"70 - Assistance, other",963 - Street or road in commercial area,,Bayview Hunters Point,POINT (-122.383855 37.742381)
80281120,982 Market St.,2008-04-01 0:00:00,SF,94105,B03,1,86 - Investigate,"960 - Street, other",,Tenderloin,POINT (-122.41034 37.782689)
80281140,1485 Bayshore Bl.,2008-04-01 0:00:00,SF,94124,B10,42,45 - Remove hazard,"960 - Street, other",,Bayview Hunters Point,POINT (-122.40139 37.725537)
80281270,University St. / Wayland St.,2008-04-01 0:00:00,SF,94124,B09,42,86 - Investigate,"960 - Street, other",,Portola,POINT (-122.412971 37.723859)
80281250,1 Sf Intl Airport,2008-04-01 0:00:00,SFO,94128,B09,A1,45 - Remove hazard,963 - Street or road in commercial area,,Bayview Hunters Point,POINT (-122.38416 37.616901)
80281290,301 Main St.,2008-04-01 0:00:00,SF,94103,B03,35,86 - Investigate,599 - Business office,,Financial District/South Beach,POINT (-122.39174 37.78937)
80281370,21st Av. / Balboa St.,2008-04-01 0:00:00,SF,94121,B07,14,11 - Extinguish,"960 - Street, other",,Outer Richmond,POINT (-122.480175 37.776496)
80281390,1225 Northpoint Dr.,2008-04-01 0:00:00,TI,94130,B03,48,82 - Notify other agencies.,419 - 1 or 2 family dwelling,,Treasure Island,POINT (-122.37483737 37.83019284)
80281550,Geary Bl. / 48th Av.,2008-04-01 0:00:00,SF,94121,B07,34,"10 - Fire, other","000 - Property Use, other",,Outer Richmond,POINT (-122.509368 37.778963)
80281570,Steiner St. / Geary Bl.,2008-04-01 0:00:00,SF,94102,B04,5,33 - Provide advanced life support (ALS),963 - Street or road in commercial area,,Western Addition,POINT (-122.434564 37.784151)
80281680,1000 Sutter St.,2008-04-01 0:00:00,SF,94109,B04,3,86 - Investigate,429 - Multifamily dwellings,,Nob Hill,POINT (-122.416928 37.788235)
80281730,1240 Fillmore St.,2008-04-01 0:00:00,SF,94115,B05,5,71 - Assist physically disabled,459 - Residential board and care,,Western Addition,POINT (-122.432136 37.7809)
80281750,Prague St. / Drake St.,2008-04-01 0:00:00,SF,94112,B09,43,32 - Provide basic life support (BLS),"962 - Residential street, road or residential dr",,Excelsior,POINT (-122.4364958 37.71006802)
80281770,363 Noe St.,2008-04-01 0:00:00,SF,94114,B05,6,63 - Restore fire alarm system,459 - Residential board and care,,Castro/Upper Market,POINT (-122.432911 37.76322)
80281740,Hudson Av. / Ingalls St.,2008-04-01 0:00:00,SF,94124,B10,17,86 - Investigate,"962 - Residential street, road or residential dr",,Bayview Hunters Point,POINT (-122.379598 37.732467)
